date,open_1day,high_1day,low_1day,close_1day,volume_1day,eqy_float,turnover_1day,open_1min,high_1min,low_1min,close_1min,volume_1min,turnover_1min,volume_proportion
2022/6/17,148.06,175.48,148.06,165.45,10255777,135.55,0.0757,165.45,165.77,165.43,165.45,132020,0.001,0.012872745
2022/6/21,167.68,174.97,166.985,170.01,2440121,135.55,0.018,170,170.08,169.91,170.01,234972,0.0017,0.096295225
2022/6/22,168.74,173.86,168.0974,169.66,1765857,135.55,0.013,169.78,169.995,169.58,169.66,179626,0.0013,0.101721714
2022/6/23,170.82,174.93,169.49,174,1832095,135.55,0.0135,174.2,174.24,174,174,146919,0.0011,0.080191802
2022/6/24,179.74,179.96,173.54,179.33,3586465,135.55,0.0265,179.605,179.64,179.02,179.33,55532,0.0004,0.01548377
2022/6/27,178.78,179.065,174.47,177.73,1192439,135.55,0.0088,177.49,177.8,177.41,177.73,16933,0.0001,0.014200307
2022/6/28,176.44,181.1,175.61,178.47,1468981,135.55,0.0108,178.805,178.805,178.43,178.47,157203,0.0012,0.107014999
2022/6/29,181.1,181.5,177.96,179.06,1150018,135.55,0.0085,179.23,179.27,179.05,179.06,113721,0.0008,0.098886278
2022/6/30,178.5,181,175.46,176.94,1232598,135.55,0.0091,176.68,177.05,176.67,176.94,34071,0.0003,0.027641616
2022/7/1,174.82,180.5,174.52,180.11,958533,135.565,0.0071,180.2,180.3,179.91,180.11,133497,0.001,0.1392722
2022/7/5,179.46,180.11,174.42,176.77,1340506,135.565,0.0099,176.74,176.95,176.68,176.77,132354,0.001,0.098734359
2022/7/6,175.63,179,174.5,175.13,1058562,135.565,0.0078,175.09,175.32,175.03,175.13,202601,0.0015,0.191392663
2022/7/7,180.78,183,175.19,177.95,3603772,135.565,0.0266,178.11,178.14,177.79,177.95,153706,0.0011,0.042651422
2022/7/8,177.19,178.94,176.11,177.45,1230065,135.566,0.0091,177.79,177.81,177.33,177.45,201256,0.0015,0.163614118
2022/7/11,176.95,178.63,175.07,177.31,1190421,135.566,0.0088,176.96,177.31,176.91,177.31,244221,0.0018,0.205155151
2022/7/12,177.34,179.1,173.45,179,1208059,135.566,0.0089,178.38,179.1,178.365,179,151848,0.0011,0.125695848
2022/7/13,176.38,179.66,175.87,177.44,984686,135.566,0.0073,177.83,177.872,177.42,177.44,83120,0.0006,0.084412696
2022/7/14,176.79,179.6,175.77,176.19,870681,135.566,0.0064,175.93,176.36,175.865,176.19,120195,0.0009,0.138047115
2022/7/15,176.05,179.34,174.1485,178.71,1400144,135.566,0.0103,178.41,178.81,178.4,178.71,233463,0.0017,0.166742135
2022/7/18,172,173.355,167.51,168.47,2272373,135.566,0.0168,168.62,168.71,168.47,168.47,171541,0.0013,0.075489807
2022/7/19,169.84,173.62,169.7,172.83,943025,135.566,0.007,172.66,172.96,172.655,172.83,165750,0.0012,0.175764163
2022/7/20,172.5,174.45,170.47,172.62,636951,135.566,0.0047,172.65,172.72,172.37,172.62,118005,0.0009,0.185265429
2022/7/21,171.99,173.94,170.02,173.16,674766,135.566,0.005,172.88,173.16,172.79,173.16,119069,0.0009,0.176459691
2022/7/22,174.02,176,170.46,171.62,598439,135.566,0.0044,171.59,171.71,171.551,171.62,108383,0.0008,0.18110952
2022/7/25,172.18,173.46,171.01,172.84,422353,135.566,0.0031,172.65,172.95,172.62,172.84,86177,0.0006,0.204040222
2022/7/26,174.14,181.75,174.14,177.51,1637879,135.566,0.0121,177.47,177.66,177.34,177.48,21440,0.0002,0.0130901
2022/7/27,176.45,178.34,174.79,176.8,791764,135.566,0.0058,176.92,177,176.66,176.8,178178,0.0013,0.225039279
2022/7/28,176.77,178.28,174.14,177.43,550876,135.926,0.0041,177.09,177.46,177.09,177.43,93915,0.0007,0.170483013
2022/7/29,174.39,180.32,173.7073,179.98,1190186,135.926,0.0088,179.91,180,179.84,179.979,25970,0.0002,0.021820119
2022/8/1,179.97,180.255,174.12,175.47,896883,135.926,0.0066,175.155,175.56,175.155,175.47,121128,0.0009,0.135054405
2022/8/2,174.7,177.55,173.73,176.72,663819,135.926,0.0049,176.74,176.825,176.63,176.65,16297,0.0001,0.024550367
2022/8/3,177.98,181.475,174.69,174.99,804934,135.926,0.0059,175.04,175.13,174.852,174.99,100705,0.0007,0.125109636
2022/8/4,175.99,178,175.32,175.86,477919,135.926,0.0035,175.855,175.94,175.32,175.86,83333,0.0006,0.174366368
2022/8/5,173.83,177.505,173.1,175.81,708862,135.926,0.0052,176.13,176.18,175.27,175.81,119751,0.0009,0.168934151
2022/8/8,176.56,181,176.56,178.33,1059924,135.926,0.0078,178.41,178.44,178.14,178.33,120804,0.0009,0.113974209
2022/8/9,177.2,178.38,175.1,175.6,642216,135.926,0.0047,175.85,175.87,175.58,175.6,73844,0.0005,0.114983121
2022/8/10,176.34,176.87,174.05,175.65,771905,135.926,0.0057,175.69,175.75,175.4,175.66,21869,0.0002,0.028331207
2022/8/11,175.48,178.15,172.43,174.04,649062,135.926,0.0048,173.83,174.25,173.8,174.04,114637,0.0008,0.176619491
2022/8/12,174,176.03,164.81,170.14,2794828,135.926,0.0206,170.73,170.78,170.05,170.06,306840,0.0023,0.109788509
2022/8/15,170.14,170.67,164.91,168.53,1425598,135.926,0.0105,168.54,168.65,168.5,168.53,83935,0.0006,0.058877047
2022/8/16,171.2,172.59,167.8,170.52,1262677,135.926,0.0093,170.4,170.58,170.36,170.52,83448,0.0006,0.06608816
2022/8/17,170.26,173.365,168.33,170.79,777784,135.926,0.0057,170.92,171.08,170.74,170.79,14101,0.0001,0.018129712
2022/8/18,171,171.59,167.9,169.09,912430,135.837,0.0067,169.28,169.29,169,169.09,104660,0.0008,0.11470469
